Spotting ID,Bee Spotter,Date Added to Site,Year Added to Site,Month Added to Site,Day Added to Site,Number of Days Between Site Launch and Date Added to Site,Title,Date Spotted,Year Spotted,Month Spotted,Day Spotted,Number of Days Between Site Launch and Date Spotted,Number of Days Between Date Spotted and Date Added to Site,Latitude,Longitude,Amateur Species Identification,Expert Species Identification (Primary),Expert Species Identification (Secondary),Protected Species?,Location Obscured?,Gender,Spotting URL
222,kjm,5/6/2008,2008,5,6,210,bumble bee in daffodils,4/24/2008,2008,4,24,198,12,41.7207212,-88.13052177,,Bombus impatiens,,f,f,female,https://beespotter.org/bee/222
191,abmcclain,4/25/2008,2008,4,25,199,First Bee '08,4/25/2008,2008,4,25,199,0,41.88592103,-89.41120148,Bombus variabilis,Bombus bimaculatus,,f,f,female,https://beespotter.org/bee/191
196,gzettel,4/26/2008,2008,4,26,200,honey1a,4/26/2008,2008,4,26,200,0,,,,Apis mellifera,,f,f,female,https://beespotter.org/bee/196
325,jjames,6/26/2008,2008,6,26,261,Cercis canadensis,4/29/2008,2008,4,29,203,58,40.838474,-89.633584,,Bombus bimaculatus,Bombus griseocollis,f,f,female,https://beespotter.org/bee/325
199,CityEcology,5/1/2008,2008,5,1,205,Warming Bumblebee,4/30/2008,2008,4,30,204,1,39.31238639,-76.55462265,,Bombus griseocollis,,f,f,female,https://beespotter.org/bee/199
202,pjohnson,5/1/2008,2008,5,1,205,bumble-04-30,4/30/2008,2008,4,30,204,1,42.154848,-90.165773,,Bombus bimaculatus,,f,f,female,https://beespotter.org/bee/202
331,jjames,6/27/2008,2008,6,27,262,Lamiastrum--Luthy Bot garden,5/10/2008,2008,5,10,214,48,40.715319,-89.575702,,Bombus bimaculatus,,f,f,female,https://beespotter.org/bee/331
237,bodhisattva,5/27/2008,2008,5,27,231,bluebell bee,5/16/2008,2008,5,16,220,11,42.14647809,-90.17097473,,Bombus pensylvanicus,,f,f,,https://beespotter.org/bee/237
230,Arlene,5/20/2008,2008,5,20,224,Volo Bog Apis mellifera,5/19/2008,2008,5,19,223,1,42.3631737,-88.20373535,Bombus auricomus,Apis mellifera,,f,f,female,https://beespotter.org/bee/230
232,bikefifty,5/22/2008,2008,5,22,226,Gladstone Fen,5/20/2008,2008,5,20,224,2,42.29672272,-88.35108519,Bombus affinis,Bombus bimaculatus,,f,f,female,https://beespotter.org/bee/232
